evaluator,scenario,example,rating,better
Janez,finetuned_instructed_gams9b_eval,20,1,0
Janez,finetuned_instructed_gams9b_eval,21,4,1
Janez,finetuned_instructed_gams9b_eval,22,3,0
Janez,finetuned_instructed_gams9b_eval,23,3,0
Janez,finetuned_instructed_gams9b_eval,24,3,0
Janez,finetuned_instructed_gams9b_eval,25,4,0
Janez,finetuned_instructed_gams9b_eval,26,2,0
Janez,finetuned_instructed_gams9b_eval,27,4,0
Janez,finetuned_instructed_gams9b_eval,28,5,0
Janez,finetuned_instructed_gams9b_eval,29,2,0
Janez,finetuned_instructed_gams9b_eval,30,1,0
Janez,rag_gams9b_eval,1,4,0
Janez,rag_gams9b_eval,2,4,1
Janez,rag_gams9b_eval,3,2,0
Janez,rag_gams9b_eval,4,3,0
Janez,rag_gams9b_eval,5,3,0
Janez,rag_gams9b_eval,6,4,0
Janez,rag_gams9b_eval,7,5,1
Janez,rag_gams9b_eval,8,2,0
Janez,rag_gams9b_eval,9,2,0
Janez,rag_gams9b_eval,10,5,0
Janez,rag_gams9b_eval,11,3,0
Janez,rag_gams9b_eval,12,3,0
Janez,rag_gams9b_eval,13,3,0
Janez,rag_gams9b_eval,14,1,0
Janez,rag_gams9b_eval,15,2,0
Janez,rag_gams9b_eval,16,2,0
Janez,rag_gams9b_eval,17,2,0
Janez,rag_gams9b_eval,18,2,0
Janez,rag_gams9b_eval,19,3,0
Janez,rag_gams9b_eval,20,1,0
Janez,rag_gams9b_eval,21,4,0
Janez,rag_gams9b_eval,22,3,0
Janez,rag_gams9b_eval,23,4,0
Janez,rag_gams9b_eval,24,2,0
Janez,rag_gams9b_eval,25,2,0
Janez,rag_gams9b_eval,26,3,0
Janez,rag_gams9b_eval,27,1,0
Janez,rag_gams9b_eval,28,4,1
Janez,rag_gams9b_eval,29,3,0
Janez,rag_gams9b_eval,30,1,0
